Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.5932215103405305,0.05972182448634526,2.576500242097821,2.6094168430894698
Solar_Radiation_Wm2,1.3587005199328652,0.030723326570785112,1.3502404862397916,1.3671682209663856
Heat_Reflective_Treatment,0.15579235885028633,0.015454811011323056,0.1515801686454003,0.16017396279946527
Coating_Reflectivity_%,0.12741271353609104,0.01200740664722267,0.12401991044073897,0.1307536659549054
Wind_Speed_ms,0.002202904304645918,0.0014540643726145225,0.0018061261195129706,0.0026026456986772356
Emissivity,3.662831657731313e-05,0.0008949001559085147,-0.0002338783108095034,0.00026576510860180203
HVAC_Setpoint_C,-4.203137738553765e-05,0.0004708283280079689,-0.00018318189167158526,7.266656067085409e-05
Occupancy_Level,-0.00010913247752451528,0.0007772185623358516,-0.0003571027979859972,6.925589247136986e-05
Insulation_Level,-0.0001400346077348056,0.0002376934836690885,-0.00020997485185382918,-7.737584355573298e-05
Wall_Thickness_cm,-0.0001675904728660944,0.0005928636672202659,-0.0003446504291983154,-1.4645943503687379e-05
Building_Orientation,-0.0002602764222554828,0.0008372378825222493,-0.0004975556343004391,-3.1026792770363296e-05
Outdoor_Humidity_%,-0.0002761798405924347,0.0005816150808568636,-0.0004583440670359481,-0.00013952936104228268
