fold,outer_r2,outer_rmse,outer_mae,outer_mape
0,0.8168688635542204,1.7325866025735082,1.5057344879480878,0.05445046287963999
1,0.8293667850921745,1.678533716636144,1.4358224327684348,0.05212209642462398
2,0.8021128675277547,1.756578272395119,1.5321860152324747,0.05549057844232541
3,0.8215512314501854,1.7295816823841412,1.4958336036181938,0.05465790273297596
4,0.8261013462649275,1.6952821960924518,1.4574484944187716,0.05221910889575566
5,0.823466222790034,1.6902024300865235,1.4455424021068473,0.05213648329043511
6,0.804366245389704,1.7195304277604395,1.4918430992020781,0.05383980553896238
7,0.8199468369283393,1.7056168343913414,1.4734164765596873,0.05315586808189382
8,0.8273050497170117,1.7280850351804737,1.4964599219032768,0.05462779076393271
9,0.8212833717434684,1.748341228934981,1.515138920347058,0.05504204356708919
10,0.8149448376243712,1.7542235308856833,1.522565321130002,0.054975283930502675
11,0.813725138027089,1.7240841745636406,1.4971101259920716,0.054029453931514156
12,0.8148189319701992,1.71357892347639,1.477829656441321,0.053617876368855406
13,0.8243406290885948,1.7017136665252228,1.460252639517381,0.052790885360836204
14,0.8305777975785413,1.6945935461222625,1.4635726654438042,0.05334472215496695
15,0.813077442421583,1.7148670986708028,1.489960347890694,0.053900699734235
16,0.8171095608642558,1.7516068989444198,1.5219450946358708,0.05486724015819355
17,0.8199932952297543,1.7310608262954343,1.4897452890730418,0.054067268353682904
18,0.8268374013748739,1.7054382379996,1.4772465897983722,0.053420248393444586
19,0.8214737346085332,1.6847129679026134,1.4413546304464053,0.05247046468264077
20,0.805753697785202,1.7370057429225298,1.4990471140453385,0.05412047598750124
21,0.8299193774070268,1.6878802932449832,1.4559160761093994,0.052725750713839385
22,0.8313746335143606,1.6819849848922503,1.4448663919659537,0.05246098450319239
23,0.8260160350806254,1.7265547890153023,1.4992845181625514,0.054376378437005955
24,0.8032703117070077,1.7559262197326073,1.5246185634230176,0.05516868479413244
25,0.8270014382234306,1.717711336147031,1.474731888341174,0.05281004235698799
26,0.8059030237348,1.7243363816075834,1.4864753817321559,0.05397823656079181
27,0.8076547099829269,1.756332852472225,1.5323216706133822,0.05544543799176111
28,0.8322035184583256,1.6774893458876121,1.4440784975148353,0.05275477637917076
29,0.8202375906652444,1.7282912100231824,1.4998753674364438,0.054359186114455976
30,0.8177488243181403,1.6979138347313338,1.4660985590942899,0.05297299165655165
31,0.8253312432047997,1.7001563834869884,1.4601467164647108,0.052897688556131375
32,0.8196412569431276,1.721111532340438,1.4878240364838302,0.05409641844909454
33,0.8194227298929143,1.7154517655597612,1.4855718330454695,0.05378450781344236
34,0.8160690877864287,1.7570403690354157,1.525076865293412,0.055150723574581735
35,0.8149630687380018,1.750498633883443,1.5224213240349853,0.05512198205988913
36,0.8241351524186226,1.6931758721246626,1.4576301897443003,0.05257311914807268
37,0.8204808998358752,1.7265091856020527,1.4831599077605158,0.05410919385353525
38,0.8218740699910307,1.676167001903821,1.4472200166486722,0.05230714820999565
39,0.8171535455721698,1.7435258509080918,1.5125624883132294,0.05468140663627348
40,0.8154504438756818,1.7396036549478724,1.501451714316461,0.05463011814199289
41,0.8149138779383808,1.7073846149443535,1.4891681246841366,0.053537594879229135
42,0.8210201192039374,1.7094472247795571,1.472151468013082,0.05306726152940034
43,0.8293424219135139,1.7083759074591078,1.481730849483583,0.05398181395468634
44,0.8177139919356564,1.722555931246291,1.4765936034596268,0.05355680033120855
45,0.8378569279448771,1.6735733024607058,1.4335991167164965,0.05174781693389644
46,0.8171048750877615,1.7277299171713503,1.5042792453060736,0.05425633884742007
47,0.8244079297349495,1.7256182460600007,1.4780941058830273,0.05412527885506357
48,0.8068532651862597,1.7262781746802887,1.4980968968963155,0.054354438377993544
49,0.8108302924936301,1.7325523992128822,1.5057800402319752,0.05421277035442413
