Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.591853704002661,0.059743900473578485,2.5751642538176927,2.608012294185253
Solar_Radiation_Wm2,1.3579424878507569,0.030657041991449852,1.3494564873831902,1.3663757266603922
Heat_Reflective_Treatment,0.1564827067961337,0.015490811378340732,0.1522665938088884,0.1608765715276665
Coating_Reflectivity_%,0.12700062212769958,0.011963078029705672,0.1236331921889941,0.1303377450500805
Wind_Speed_ms,0.002200382569735158,0.001453162383134065,0.0018037257589569161,0.002599918436308692
Emissivity,3.6780836680232025e-05,0.0008947039326994225,-0.00023351755556119019,0.0002658154177147848
HVAC_Setpoint_C,-4.2401631458584893e-05,0.00047004788595407125,-0.0001829558650155439,7.201979801620065e-05
Occupancy_Level,-0.00010987849397433669,0.0007766019509933957,-0.00035750448523009566,6.828445038872936e-05
Insulation_Level,-0.00013961657156891905,0.00023764746244659118,-0.00020966282803212586,-7.695577914766602e-05
Wall_Thickness_cm,-0.00016739800012368632,0.0005928404435535411,-0.00034445432156186346,-1.439489802949802e-05
Building_Orientation,-0.0002592825434034305,0.0008373594976219187,-0.0004966604570302314,-2.9662311573416944e-05
Outdoor_Humidity_%,-0.00027640381320611013,0.0005814853045230019,-0.00045873041777918524,-0.00013957646811182722
