trial,mean_running_best_rmse,std_running_best_rmse
1,2.017610317992424,0.4389910572548806
2,1.83576236315915,0.2302413463910608
3,1.770454346204695,0.1150825131260707
4,1.7368349565284007,0.03493954772411471
5,1.7299633783295965,0.02541686609768765
6,1.7244258899835714,0.0189537336344368
7,1.717117541878812,0.014520116543981918
8,1.7149731633479934,0.013294232844222074
9,1.7128476835334545,0.012623307172197049
10,1.7116560619730359,0.012207261362911526
11,1.7111157511707284,0.011919288354186909
12,1.7098314767236331,0.011534107665903607
13,1.7085425852205909,0.011221666469595782
14,1.707986797558181,0.011419927210208378
15,1.7069955680952524,0.010991974321462879
16,1.7061180230419064,0.011107471699924924
17,1.7051647742728289,0.01046369781595588
18,1.7050060786094403,0.01042760971626644
19,1.7046683126397955,0.010116723188602966
20,1.703551617979703,0.00921457719405869
21,1.703081478285679,0.008950723844267938
22,1.7029983705475595,0.00884294714235749
23,1.7027503867892029,0.008803010538177168
24,1.7024701120299974,0.008544517376950164
25,1.7023068742632885,0.008318070293702651
26,1.7022837681957563,0.00830925080050615
27,1.70214852315381,0.008399164414052059
28,1.7021319367103738,0.008394671358019525
29,1.701933117213911,0.008327650550342668
30,1.7019032018017424,0.008351850390561324
31,1.7018408300892947,0.008394768433432266
32,1.7018147277435427,0.008385749182823211
33,1.7015869258749265,0.00816147174032163
34,1.701436186068873,0.008159296307111319
35,1.7013619650079517,0.008118368359744377
36,1.7011438734593298,0.008217393521862947
37,1.700892123290886,0.008161264175322243
38,1.7008575115129614,0.008159285663104253
39,1.7008575115129614,0.008159285663104253
40,1.7008120403023081,0.00821596272011039
41,1.700787154170232,0.008230313498243753
42,1.7007728239319468,0.008229353656847422
43,1.7004859808627568,0.00831817637044292
44,1.7004679177993793,0.008298951301769266
45,1.7004321581157174,0.008297365627496195
46,1.700409411427656,0.008301095710947186
47,1.7003189286103537,0.008434241270608787
48,1.700286124414235,0.00843315880010984
49,1.700286124414235,0.00843315880010984
50,1.700282104442514,0.008426439680403186
