Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.4541267571466974,0.05773098799566558,2.4379125849871643,2.4697533354964336
Solar_Radiation_Wm2,1.2451938738608328,0.030030446797170325,1.2370476213260349,1.2534675909833988
Heat_Reflective_Treatment,0.48664189261597157,0.043952508174938947,0.4751067410702771,0.49907299451386106
Coating_Reflectivity_%,0.1288832978577629,0.02193238892380101,0.1227998910223879,0.1348757296971451
Wind_Speed_ms,0.004271789432505881,0.001987339835242537,0.0037068532396252927,0.004792533892685535
HVAC_Setpoint_C,3.1031217999080195e-05,0.0013104666156306948,-0.0003355901345561864,0.00036898485886652514
Occupancy_Level,-0.00013105055540824483,0.00028090459064498475,-0.00021063371673988782,-5.458992010452415e-05
Insulation_Level,-0.00016349991142188935,0.0004430602502942807,-0.0003017674542613094,-5.180187911057419e-05
Emissivity,-0.00019303301590619396,0.0010464352263175587,-0.0004996847327314406,7.965578748419109e-05
Building_Orientation,-0.0002968735506921547,0.0005002394877855838,-0.0004500001320930222,-0.000167959055295763
Wall_Thickness_cm,-0.0004888954292512464,0.0009741233478507813,-0.0007606377082999886,-0.00021972482839000248
Outdoor_Humidity_%,-0.0005395709308869798,0.00131295644312174,-0.0009056601257304667,-0.00018401300941096416
