Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,1.5296708226128048,0.037335604806237835,1.5192848007857072,1.5399064528018394
Solar_Radiation_Wm2,0.741149002965665,0.025765289343806962,0.7341312546276362,0.7483542382680975
Heat_Reflective_Treatment,0.6775945742413166,0.032389936399289936,0.6687553315748812,0.6866144341725444
Coating_Reflectivity_%,0.05976544458918285,0.013591809052853662,0.056065181691452526,0.06350974918173687
HVAC_Setpoint_C,0.00022402166459677686,0.011874489114495347,-0.0031163705238611427,0.0035479700557259648
Wind_Speed_ms,-0.001615346568873127,0.010013423865170823,-0.004450179108533765,0.001132415548369456
Wall_Thickness_cm,-0.0035026105711605244,0.007979478255105822,-0.005725168659430179,-0.0013286009509303994
Emissivity,-0.005548777787083586,0.01059454211297885,-0.008430777784386785,-0.002624128845179131
Outdoor_Humidity_%,-0.005748504039375177,0.011078001788253402,-0.008925804865682384,-0.0027304475418373944
Insulation_Level,-0.00899600063397675,0.011904078899655314,-0.01234892262401783,-0.005806280288513311
Building_Orientation,-0.009388402673941977,0.013069220684252678,-0.01296405703682886,-0.005797272033376213
Occupancy_Level,-0.010060036623696993,0.009835519942942246,-0.012815411567538878,-0.007377216165945976
