Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.3762443445565737,0.05532324221437686,2.3607807891250014,2.3913513699017677
Solar_Radiation_Wm2,1.1860714846557618,0.03455206976228828,1.1763369576361624,1.1953803493677349
Heat_Reflective_Treatment,0.6475920355366445,0.041790840588803856,0.6364206876762836,0.6594412330531011
Coating_Reflectivity_%,0.13973855254006576,0.021648993748575682,0.13364356076033324,0.14561460429885245
Wall_Thickness_cm,0.0018563552426445373,0.004182386869693761,0.0007030133033377132,0.0030316044496081873
Outdoor_Humidity_%,0.0002899233827758904,0.00335621284752828,-0.0006649560181748746,0.001216435668866001
Occupancy_Level,0.00022330746436604183,0.0018422386131682318,-0.0002659518123103088,0.0007726803014514699
Insulation_Level,-7.628418180869854e-05,0.001313726865732814,-0.0004405808285732992,0.0002870951266950193
Wind_Speed_ms,-0.0002520294403159586,0.004041909371890799,-0.0014030250392676068,0.0008509830004735158
Emissivity,-0.0005699432045239016,0.002369921264533748,-0.0012289364514076178,8.375565367127641e-05
Building_Orientation,-0.0006079525989215853,0.0018494045701175335,-0.001167542673381621,-0.00014228890432084509
HVAC_Setpoint_C,-0.0009311140257984861,0.0038997597299689386,-0.002023449888472673,0.0001627529732184543
