fold,outer_r2,outer_rmse,outer_mae,outer_mape
0,0.7887560985963462,1.860826775360633,1.5487678781490308,0.05613838508852369
1,0.8024955268820144,1.805871111489052,1.4922189288617786,0.05405266810606027
2,0.7772299561638432,1.863747715153423,1.5556786376622975,0.05654271669296801
3,0.791362362609607,1.8701680255023718,1.55762703863371,0.05682423070157683
4,0.7957329630034421,1.8373548317351616,1.5080877295171575,0.05410552768850813
5,0.802733561346109,1.7866990931789175,1.4707167639301917,0.05327169060024465
6,0.7862086085862069,1.7975586825589291,1.4886603514490206,0.053898539610818225
7,0.7864397887572981,1.857553227333584,1.5399687101005697,0.05558145616245781
8,0.8013567621147153,1.8533702297975017,1.5487128471014506,0.05653844991032914
9,0.7981340936680881,1.8581261955167252,1.5545992630060508,0.05678893396305893
10,0.7868299492789607,1.8827706695933393,1.565797530234434,0.056566042529612164
11,0.7896879615797758,1.8319491164952753,1.530829094519706,0.05535806245202138
12,0.7945426762186092,1.8049560562442306,1.5001607663391041,0.05469518597044441
13,0.7965284745853857,1.831481961735063,1.5329514308871053,0.055509730868124385
14,0.8085188741006764,1.801537774198457,1.4891579198168958,0.05418943527840662
15,0.7869251355914415,1.8309046224380063,1.511814626759293,0.05483002800907536
16,0.7889677440075555,1.8815491459547589,1.5728694646870314,0.05686689863081504
17,0.7957135952430971,1.8441138104708539,1.5413247245394412,0.05603671671812656
18,0.8088584843846459,1.7917873309807844,1.495047929537499,0.05397913175205812
19,0.7900151798001646,1.8271273105045434,1.5179146074235872,0.055236651466507636
20,0.7762906857774907,1.8640901324840757,1.5523257387544196,0.056149450011504405
21,0.8040658911744206,1.811628929075806,1.5200584069332201,0.05521612411212042
22,0.791932821359938,1.8683681288633693,1.53304688779461,0.05567812648150307
23,0.8022860244297438,1.8405365107861975,1.5347438457505462,0.0556165808860768
24,0.7820343641290298,1.8482696252413402,1.5244800091680821,0.055342685835998245
25,0.8080465374482436,1.8093680230712113,1.5124323118793583,0.05420679219220253
26,0.773316767928871,1.8634695675260462,1.5400700212668312,0.05599960840908804
27,0.7968713607360017,1.8048936894433294,1.5134506310886888,0.05466583142585069
28,0.8010898259870372,1.8264039771301332,1.5196485556933035,0.0554196648177906
29,0.7931755423499907,1.8538236917541213,1.5496017471181207,0.05623903439494235
30,0.7857613920858681,1.8408963921113728,1.5226475509805382,0.055062687558602726
31,0.7951859353588254,1.8410311808950768,1.533628752204184,0.05556351479743225
32,0.7983063986534441,1.8200632259727123,1.5168904631586768,0.05496825512027355
33,0.7924812186179157,1.8389743587912242,1.5246689140652199,0.05527725132410055
34,0.7898636713529745,1.8780404738375345,1.5657689030544701,0.05667360922205851
35,0.7976129806709849,1.830728298495598,1.5363403071116757,0.05583343693325192
36,0.7918199404684362,1.8421802219919812,1.5273751679762766,0.055062873753002464
37,0.7929746696037102,1.8540664921925476,1.5494467754921772,0.056403784450290775
38,0.8003636722209564,1.7744897721396364,1.4633869871067398,0.05298239124026693
39,0.7827380870640539,1.9005395813461496,1.5819099007134114,0.05725386937160518
40,0.7960472980625944,1.8287676916405684,1.5272482161933232,0.055757532728821314
41,0.7962336418611438,1.7914746923680436,1.4841208044703682,0.05347352507255932
42,0.795906695329389,1.8254417080938945,1.5117490523251098,0.05456455438196994
43,0.8039731783617847,1.8309580678272408,1.5175399473547957,0.055413679393242724
44,0.7974670473803567,1.8157017502591795,1.503743155076608,0.05457384983478572
45,0.8072813146519742,1.8245570729108183,1.5130501886871885,0.05442333533831941
46,0.7881004207948187,1.8596869175026536,1.5532650841224074,0.055967818366697064
47,0.8026546993742714,1.8293873390339588,1.5081692288058255,0.055283788644611156
48,0.7829053204490966,1.8301710633889738,1.5169220662905882,0.05513912032094421
49,0.7843478404415223,1.8498541485352966,1.5520536382456003,0.055765052246119814
