Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.4399638767045113,0.05716269002698009,2.4240528788880535,2.4554598172376263
Solar_Radiation_Wm2,1.2599893564893114,0.02765954115570363,1.2524501725279646,1.2675756370010625
Heat_Reflective_Treatment,0.5103094075954734,0.04204560384833199,0.4988874802765112,0.5222100943844997
Coating_Reflectivity_%,0.10854864869300185,0.013180310838391095,0.1049105524768785,0.11219957087174459
Wind_Speed_ms,0.004274369973611437,0.002412111638691685,0.003620114320109423,0.004936064415567305
Emissivity,0.0002490604266723482,0.0011055663377912742,-6.239262328531389e-05,0.0005472848036398522
HVAC_Setpoint_C,0.0001639624106654014,0.0011745909166085762,-0.00016870177986387923,0.000488403580817027
Building_Orientation,8.745553854629895e-05,0.0010542266038248704,-0.00020484566063554643,0.0003871151300606906
Insulation_Level,-0.0002589622946701162,0.0009448583943495663,-0.000519778812714072,1.7850839671995904e-06
Outdoor_Humidity_%,-0.0005210412049655761,0.0013742255762791628,-0.0009192932003962564,-0.00015094619262756378
Occupancy_Level,-0.0005622395021611405,0.0009901912342152666,-0.0008499213804857953,-0.0003022780410907801
Wall_Thickness_cm,-0.001038185227578811,0.0015475025243646618,-0.0014923465292371778,-0.0006296964255429443
