trial,mean_running_best_rmse,std_running_best_rmse
1,1.9836695866649243,0.4621858488899119
2,1.7607258259823135,0.1510030756249657
3,1.7176317423394323,0.07497397681055334
4,1.699031386558205,0.0191206130103666
5,1.6961887376105067,0.01702742452760084
6,1.6942361522506963,0.015052758528669318
7,1.6928875923880928,0.013744139532297034
8,1.6917059750171017,0.012150554044606564
9,1.6904991320467895,0.010895451119842532
10,1.6900244415236734,0.010716769542140049
11,1.6885765644182567,0.008783818961991199
12,1.6875912531615245,0.00799997623235786
13,1.6869075826733562,0.0076024817188552266
14,1.686567033178275,0.007645698491565693
15,1.686276409994081,0.007532253732577659
16,1.685751093968063,0.007092620433224452
17,1.6855107513260983,0.006880417715440721
18,1.6850784733098871,0.006932017673991058
19,1.6846860361121996,0.006635273545033938
20,1.6844162893301484,0.006569956164443954
21,1.684368360121905,0.006597892045117991
22,1.684159591355893,0.006643988158362768
23,1.6840408724547098,0.006698487231458712
24,1.683708634910368,0.007000400679379986
25,1.6834057323807952,0.006898630943490144
26,1.683341458189075,0.006938441476483958
27,1.683341458189075,0.006938441476483958
28,1.683341458189075,0.006938441476483958
29,1.683302169825748,0.0069575751251844745
30,1.683300186807123,0.00695795158969387
31,1.6832814015261754,0.006975048331026387
32,1.6830932212341594,0.0070529617189512925
33,1.6829977076182043,0.007119009533389035
34,1.682856983096292,0.007011572296742117
35,1.6828139632340413,0.006977066194041436
36,1.6828022914894194,0.006975084679837064
37,1.6827760453716616,0.0069573968693265
38,1.682673511512335,0.006936621270232311
39,1.682611673304446,0.006925233682191635
40,1.682548170879251,0.00695527597588606
41,1.682548170879251,0.00695527597588606
42,1.6825216411587354,0.00696863802941751
43,1.6824006871508683,0.006884846388879642
44,1.6824001063722276,0.006885701685366655
45,1.682397535063707,0.006882761197078144
46,1.682256156369137,0.006739789591642893
47,1.6822526827403652,0.006744222337985094
48,1.6821923874013585,0.006772086944258824
49,1.6821288052844796,0.0068669276172553615
50,1.6821208435093413,0.006855009680212162
