Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.3671978808791287,0.059097469301072236,2.3508497449799495,2.3833922544572985
Solar_Radiation_Wm2,1.1975928590582066,0.02872124859124196,1.189548750343869,1.2055004261525244
Heat_Reflective_Treatment,0.6986602740191543,0.03395281190815009,0.6894305221483192,0.7083579271467814
Coating_Reflectivity_%,0.11051425406608072,0.011259119230283079,0.10741240887328005,0.11359319620844864
Occupancy_Level,0.00025461259045038973,0.0006834812004981027,5.556681243870533e-05,0.00043915150663844293
HVAC_Setpoint_C,0.0002198504952776532,0.00175324853108111,-0.0002567436300576246,0.0007077036250507927
Wind_Speed_ms,0.0001579947638822797,0.0014877400208429302,-0.0002505761740542265,0.0005576489834341096
Wall_Thickness_cm,1.6998515789248737e-05,0.0017508940087996609,-0.0004649289741379197,0.0004936219214319498
Building_Orientation,-5.688196306038854e-05,0.0007476933053911172,-0.0002760360282027453,0.0001430827350296044
Insulation_Level,-0.00019671287428358795,0.0004954734736770406,-0.0003350375914914922,-6.027837670301278e-05
Emissivity,-0.00024899415314622877,0.001006934722175675,-0.000525378133503774,2.752953124155576e-05
Outdoor_Humidity_%,-0.00046642358545121354,0.001570206351896324,-0.0009126267208135614,-4.069089766411429e-05
