trial,mean_running_best_rmse,std_running_best_rmse
1,1.75555285439912,0.09741119335172099
2,1.722374991257159,0.0485179844391949
3,1.7167150285169033,0.03226559517876774
4,1.7148189556399078,0.032006870443641366
5,1.7098945137661432,0.009741116192134143
6,1.7089639545715642,0.00834039329737146
7,1.707894745201973,0.007539556636933937
8,1.7076127247651522,0.007499523310680403
9,1.7072857244372965,0.007491356738977542
10,1.7071597239388112,0.007378006072018778
11,1.7071450558986592,0.007392851982507092
12,1.707006350852119,0.007324399982149609
13,1.7066867642945582,0.0074009778506851295
14,1.706375595611734,0.007632195582529534
15,1.7063392096096128,0.007621106630924363
16,1.7062717353739882,0.007652022609410305
17,1.7061989912288626,0.007657383189916958
18,1.7061530790603112,0.007634215946023581
19,1.7061217187300712,0.007647311312302394
20,1.706037228224269,0.00772909916794256
21,1.705990286467263,0.0077135044091285266
22,1.7058550999795017,0.007648522052689358
23,1.705764405482164,0.007646288306499368
24,1.7055859652479688,0.0076767483263687685
25,1.7055223754553892,0.0077079551661294295
26,1.7054641946373623,0.0077316509670997055
27,1.7053921976206192,0.0076721831104926645
28,1.705384168910762,0.007673249107510978
29,1.7053005522292102,0.007640903848172159
30,1.7052984190925013,0.007644415962029168
31,1.7052971420604341,0.007644650541871395
32,1.7052900538758462,0.0076383333659183015
33,1.705223638085166,0.0076678328599333575
34,1.7051810151859914,0.007688232188304073
35,1.7051024304837323,0.007728318656998013
36,1.7050542741983299,0.0077531873552282105
37,1.705053358418151,0.007753337771822258
38,1.7050505152776838,0.00775272222162158
39,1.705045985565799,0.0077521270298146405
40,1.7050219229763486,0.0077361805538870695
41,1.7050189838660004,0.007735625845912339
42,1.7050024109558501,0.007736302862478017
43,1.7049955825544814,0.007730517167566097
44,1.704955940062944,0.007728876051156845
45,1.704931882117792,0.007721274359534541
46,1.7049238820916108,0.007711417492531808
47,1.7049146886880362,0.007703610579345171
48,1.7049143995510871,0.007703253656899429
49,1.704904523890589,0.007694387213075701
50,1.7048955445464207,0.007709943828597805
