fold,outer_r2,outer_rmse,outer_mae,outer_mape
0,0.8155079634068365,1.7390123614408757,1.4770505596485985,0.05344444062363429
1,0.8212089990255502,1.7181896971398811,1.4340532486482933,0.052197007883457665
2,0.8007391979055035,1.762664532668356,1.508793933846826,0.054698840561119774
3,0.8133302437338008,1.7689733071037628,1.4932334955839364,0.054589241166285336
4,0.81424799755432,1.7521070748263416,1.4755028039416014,0.05300287688014145
5,0.7591962937110631,1.9740420449271425,1.6352235599486813,0.059119870502213755
6,0.7962421829096844,1.7548706474153701,1.473491791696272,0.053242820379227444
7,0.8058512452254816,1.7711216870818498,1.4797305006706414,0.05353715997015933
8,0.8110952726713192,1.8073684761195454,1.522102170995153,0.05562545828654523
9,0.8181130179860054,1.7637804578319842,1.4822607428310106,0.05403441004880138
10,0.8115444163584307,1.770267248321985,1.501456003894689,0.05428725853332283
11,0.8018541309584947,1.7781723450505904,1.5102743418168085,0.0546006107766091
12,0.8074668872989813,1.74726402684365,1.4717111484756837,0.05343377862894365
13,0.8135578490963737,1.7531653454968146,1.484917237977668,0.05381038053280907
14,0.8231626087996907,1.7312804949315361,1.4565145313193535,0.05306511117426243
15,0.8074020596179543,1.7407060149733473,1.4763995522351019,0.05343707460923506
16,0.8120828043992177,1.775515250673522,1.5085338886844242,0.05455403146056941
17,0.8133993756190537,1.7624813652903992,1.481563893845535,0.053911368342302826
18,0.831497558967114,1.6823333225665174,1.4251228199854558,0.05157257715960526
19,0.809783986995998,1.7389952511418465,1.462853344729773,0.0531826668214401
20,0.7938164964008441,1.78958294355569,1.5235018006562064,0.055140246937706534
21,0.8168889524324485,1.7513441569701131,1.4697220664123702,0.05336138280953869
22,0.8224532186947331,1.7259056997729407,1.4511703524774269,0.0526423907577323
23,0.8225332346852003,1.7437501954821715,1.468971685748344,0.053220137646767036
24,0.7970772156993329,1.7833505425098282,1.513085285396482,0.05489923765007203
25,0.8211025792498712,1.7467508975676937,1.4582417067902824,0.052333045821673356
26,0.7918224084356489,1.7857867505664187,1.5047860400169073,0.054975908597639137
27,0.7976040530479791,1.8016355905231558,1.5429061878951538,0.05566604587209951
28,0.8250540627341276,1.7128537239874801,1.4522157954960553,0.053044894383589294
29,0.8062449868003035,1.7942954471114092,1.5075507813639843,0.05460252951366415
30,0.8073070423166971,1.7458760170354701,1.475164814958523,0.05321589004769476
31,0.8109180489217793,1.768912265598747,1.4824547324228543,0.053784050825661664
32,0.8181062312311288,1.7284201685158342,1.4604873845647275,0.05310229041640505
33,0.813209490556166,1.7447145099253836,1.4784732421139613,0.053635299034074456
34,0.8132996857243344,1.7702186092137455,1.5016690061547193,0.05417166896818046
35,0.8063459137469787,1.7907951116544585,1.5188036465436556,0.055006120508357764
36,0.8157845785964168,1.732908145326292,1.4739112584743181,0.053258000614971365
37,0.812425355346966,1.7648208587275738,1.4798532070615036,0.05393031406531198
38,0.81428634004801,1.7114950155065183,1.446743328093668,0.052330653477932434
39,0.8107425958320149,1.7738282157563705,1.5045983345298217,0.054539521761743044
40,0.8126649332584747,1.7526828966203656,1.4858217378353087,0.05415834545267016
41,0.8131755062311483,1.7153839517240317,1.4445549864701024,0.05183103289436238
42,0.8218425653972633,1.7055150866970004,1.440113776615893,0.051974291859674206
43,0.8270158283611301,1.719981723945612,1.4442652007535162,0.05270728920276685
44,0.8053969167114585,1.7798013163347177,1.5095176662557535,0.054760513244181255
45,0.8364990674010129,1.6805663279653928,1.408823130029684,0.05091859029154715
46,0.8082887511577602,1.7688808770694782,1.507881670404406,0.054580062155364754
47,0.8136272151487761,1.7778025380396079,1.4919834814009303,0.05460191502307278
48,0.7997226825390003,1.7578547114496914,1.4852516073008977,0.05391560419067356
49,0.8050259943702157,1.758931550887806,1.4890860477154393,0.05358932996292376
