Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.4625396762904104,0.07631984970225426,2.440834334014313,2.482777250693533
Solar_Radiation_Wm2,1.2611544915771835,0.036154114617706005,1.2508561015690383,1.271058752404407
Heat_Reflective_Treatment,0.4021313657993585,0.04867622968991209,0.38900202540002515,0.4158710498065023
Coating_Reflectivity_%,0.17176277710999038,0.038396198592364573,0.16194505504364942,0.18355118356923886
Wind_Speed_ms,0.009750666410225576,0.008132438262160209,0.007460610244062088,0.011968695683121842
Building_Orientation,0.0032111927112006057,0.013228527234507842,-0.0004237970819017964,0.006898586697308802
Insulation_Level,0.0009245993586769602,0.008620883216413449,-0.0014439850221048911,0.0033446122706344223
Emissivity,-0.0008721617732652012,0.007633618004003821,-0.0029310567744493424,0.0013416204862481973
Outdoor_Humidity_%,-0.0017787559584724333,0.007671964916507078,-0.003860348794013665,0.0003484485755835572
HVAC_Setpoint_C,-0.0023768545440387033,0.008255814355007787,-0.004646890940262998,-0.00014554250597869186
Wall_Thickness_cm,-0.0038949274100434773,0.005982899979953753,-0.0055416191934280585,-0.0022498065109558926
Occupancy_Level,-0.0041524172446026466,0.008793941741630769,-0.0065664334909205065,-0.0017552574125634297
