trial,mean_running_best_rmse,std_running_best_rmse
1,2.12986191213186,0.729566110105303
2,1.8786798142546415,0.4983050333601797
3,1.7377269300202476,0.07806144436489913
4,1.72386531791285,0.023488245305372323
5,1.7195255455498613,0.006738826038074877
6,1.718996366284824,0.00585816155832689
7,1.7188902484749926,0.005890358828803541
8,1.718850225413723,0.005869462835084366
9,1.7188451223015753,0.005871461075944317
10,1.718825932931346,0.0058524563622069856
11,1.7186883020124437,0.005857404358222448
12,1.718634590833328,0.005827437188126272
13,1.718570847401389,0.005836197054228075
14,1.7185090987919387,0.005837063807912223
15,1.7184756018072027,0.005832062340430015
16,1.7184541310415222,0.0058438823144584436
17,1.718413111089314,0.005877657946794494
18,1.71841128472506,0.005877028803307877
19,1.718404659652356,0.005878220855726032
20,1.7183541664006357,0.005881579952230534
21,1.7183382034289183,0.005879481451184577
22,1.718321038775404,0.00588688427170479
23,1.71830489616941,0.005882897430666333
24,1.7183016319804674,0.005880564967516528
25,1.7182748676671116,0.005881079700160288
26,1.7182526816446682,0.005875914047517869
27,1.7182445328743046,0.005877121234844585
28,1.7182352438801929,0.005870354259126238
29,1.7182304887911732,0.0058663417993218584
30,1.7182177382922286,0.00586927750482431
31,1.7182107411082645,0.0058699753487459466
32,1.718207795591459,0.0058701579099682474
33,1.7182012581579444,0.005873243374448011
34,1.718170715096125,0.005867791010768964
35,1.7181588423542882,0.0058671711680589106
36,1.7181565751632226,0.005863806038334047
37,1.718135964935838,0.005861601431290371
38,1.7181142995189902,0.0058676921144143745
39,1.7181109031796837,0.005867800287711841
40,1.7180913417420554,0.00586041363408344
41,1.718089212449081,0.005861040502239818
42,1.7180805155498524,0.005864496001387751
43,1.7180705439791206,0.005869619676130933
44,1.7180684947228366,0.005871417957933756
45,1.7180552918830656,0.005866477096250372
46,1.7180518627758312,0.00586679328056133
47,1.7180479716188426,0.005868918630622367
48,1.7180479716188426,0.005868918630622367
49,1.7180462044278975,0.005867487531200335
50,1.7180406390674576,0.005869682310293187
