Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.578072164175422,0.060708001211633604,2.561076458002381,2.594437165139905
Solar_Radiation_Wm2,1.3464074329304636,0.02960243861748003,1.338194420080226,1.3545103504693012
Heat_Reflective_Treatment,0.16411301447495671,0.01595260493266554,0.1596993971711103,0.168620698195433
Coating_Reflectivity_%,0.12121087196898796,0.011581604546079555,0.11799182178476758,0.12445266787498115
Wind_Speed_ms,0.0014671205999795924,0.0010045442167569611,0.0011957983290193904,0.0017413421093335616
Insulation_Level,-3.3822317068099575e-05,9.341191494985682e-05,-6.240061961457315e-05,-1.0428475106230463e-05
HVAC_Setpoint_C,-3.947855940353984e-05,0.00021359826310754504,-0.00010623757405279611,7.096107259717208e-06
Occupancy_Level,-0.00010040768837879056,0.00038632639257988655,-0.00022526647452256844,-1.9011638991678656e-05
Wall_Thickness_cm,-0.00010624165028988398,0.00032083848377674267,-0.0002035582144925697,-2.7958451102969353e-05
Outdoor_Humidity_%,-0.00010869736951989406,0.0003758829960722328,-0.00022922989467904343,-2.6016622304722255e-05
Emissivity,-0.00015980859792602282,0.0005876500594646387,-0.0003453217456330213,-1.9682021835621018e-05
Building_Orientation,-0.0001813739125572327,0.0004390743726484561,-0.00030869585779273284,-6.487670648557139e-05
