Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.4712131456129485,0.056797505485548905,2.4552754866251942,2.4866783275653317
Solar_Radiation_Wm2,1.2572193550229693,0.029806005055840037,1.2490570193116342,1.2655942756777403
Heat_Reflective_Treatment,0.457690267440919,0.0344029950177932,0.4487143626247805,0.4676405146611688
Coating_Reflectivity_%,0.13559665583929706,0.02115598482019455,0.12961818133951536,0.14130173173431831
Wind_Speed_ms,0.003791833423601476,0.0019982253944751576,0.0032461497597667016,0.00433787182221295
HVAC_Setpoint_C,-7.00122053339984e-05,0.000994884983246882,-0.00035630842966702473,0.00019792591091128436
Occupancy_Level,-8.30654558189008e-05,0.00035742802296909616,-0.0001865689502780156,8.994668385581434e-06
Emissivity,-0.00014659136044907495,0.0007046058377798328,-0.00034746389591575646,4.2787997277960105e-05
Insulation_Level,-0.00014824603350494715,0.0002365251688458285,-0.00021489626006280615,-8.641668913561584e-05
Building_Orientation,-0.00017224096232939612,0.0004610296186014436,-0.00030557191243460436,-5.119552654129128e-05
Outdoor_Humidity_%,-0.0003022770812704332,0.0012863409524629498,-0.0006678910486053283,3.111664662948207e-05
Wall_Thickness_cm,-0.0007526320660158729,0.0008799737307063463,-0.000997910973934903,-0.0005081949251563796
