fold,outer_r2,outer_rmse,outer_mae,outer_mape
0,0.8208468962250561,1.7136653872107621,1.457476934928403,0.052848301323814934
1,0.8271695404398388,1.6893063906178447,1.4094092350915348,0.05125859761677561
2,0.798420408383794,1.7728908940745947,1.5027703700523742,0.05479555449186641
3,0.812713173993183,1.7718947211216682,1.4966493678629684,0.055042958988268546
4,0.8176686669907441,1.7358993665477065,1.4586361724049106,0.052529724801094524
5,0.8269587592354704,1.6733994625454356,1.4048097286074441,0.05086476336683922
6,0.8044585621992038,1.71912466880887,1.4510606467709433,0.052517717649972415
7,0.8145084849410937,1.7311835649994287,1.4563557139177474,0.052679583822599414
8,0.8205014904487055,1.7617963803474745,1.494524673735726,0.054747912086081936
9,0.817004701574865,1.7691460368898273,1.4929501223491017,0.05456293391357118
10,0.8137387933342761,1.7599305734825994,1.499565089722675,0.05431036844310338
11,0.8156236621486155,1.715275690335739,1.4495077487765093,0.05245749996593665
12,0.814581690864019,1.7146762312143462,1.443534549056164,0.0526226668258425
13,0.820158795482087,1.721850442291043,1.4516199429037515,0.05288509950505649
14,0.8280906679206947,1.7069866043653081,1.4490675250524356,0.05292979574375904
15,0.8113153565904905,1.7229310131235365,1.453626803864977,0.052900052195235574
16,0.8130799644384228,1.7707982054770632,1.5095569707617018,0.054639123763849246
17,0.8192863201274688,1.7344568598684282,1.4600655104318698,0.05313037532908133
18,0.8307726932623545,1.6859479795930732,1.4345500000000004,0.05203719507165865
19,0.8177491388450229,1.702196343773812,1.4314818923327892,0.05210217381899043
20,0.8043729850442252,1.7431681748250556,1.4711966648540873,0.05333591290117177
21,0.8249220445178713,1.712497544121976,1.4471220772158784,0.05253361835580263
22,0.8231603257811604,1.7224654299046351,1.4501775285481244,0.052845299686097906
23,0.8222593084547145,1.7450954466292432,1.4826003262642744,0.05396807227208816
24,0.811068240888791,1.720773843723264,1.4615227219762297,0.053162980138313866
25,0.8244837396860905,1.730165365124041,1.458395981797888,0.05234649098989597
26,0.8036419494672238,1.7343508695380203,1.4518889413582894,0.05292007781112172
27,0.8142582083078237,1.7259207977366535,1.4719087625262175,0.05342104861536813
28,0.8260568796036029,1.7079374989650897,1.4358847471451874,0.0527942833381716
29,0.8171259489282989,1.743185175226689,1.483414491571506,0.05381704583678596
30,0.8173734373370536,1.6996615515289273,1.416923757190693,0.051424738230949694
31,0.8157875833384135,1.745985794226644,1.4676422648178356,0.05344221837774654
32,0.8167690718633355,1.7347616205427405,1.4742065660685157,0.05383036426120955
33,0.8229977540111647,1.6983858316987954,1.437164002175095,0.05224568897952527
34,0.8171247526072747,1.7519908784300013,1.4901049936559725,0.05403035431115518
35,0.8179314321216193,1.7364011132233428,1.4659970636215336,0.05335001248437685
36,0.8231076661311976,1.698114839034881,1.4313542686242524,0.051844399946452506
37,0.817861123432129,1.739061292081219,1.4665205632351677,0.0536179960858334
38,0.8184544570072141,1.692179813149737,1.4259791496737355,0.05174170311483239
39,0.8177796739247831,1.7405380786300362,1.476290483958673,0.05353025382437034
40,0.8122487808088352,1.7546285511998152,1.4762373980424142,0.05407158694892094
41,0.8194522789773686,1.6863217482794188,1.4328467845797193,0.05155523987479115
42,0.8194148610868411,1.7170960692764448,1.4522456855842707,0.05245801214153509
43,0.8267654921889275,1.7212258203623056,1.4559918433931485,0.05334725381038914
44,0.8136801066464199,1.741511227274368,1.4671516313213704,0.05320359860708585
45,0.8343601758540162,1.6915230531230114,1.4253078536471682,0.051500810962953295
46,0.810811591961369,1.7572034617051533,1.4914766856987487,0.05413059744773953
47,0.8231610726226101,1.731734106879887,1.4389452283849924,0.05307585690169578
48,0.8079878184939446,1.7212005862480986,1.4611719326865285,0.05319189833837416
49,0.8098334134210321,1.737111468994667,1.4714090028548117,0.05311848650965637
