Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.3038725614306093,0.07544638462177206,2.2833316087118143,2.3247779162512225
Solar_Radiation_Wm2,1.1471945476191783,0.037987200391984055,1.1366336310773377,1.1576480821017232
Heat_Reflective_Treatment,0.6993573076062178,0.043919748873540346,0.6877855152678111,0.7118086795504532
Coating_Reflectivity_%,0.11435960282455772,0.012447503199967803,0.11095909133088472,0.11790956123702595
HVAC_Setpoint_C,0.0013593828784584194,0.003509756941050167,0.00036181450333906787,0.0023091022823490378
Emissivity,0.0008260506970489292,0.0026340325782587856,9.656438137745097e-05,0.0015486576419338498
Wind_Speed_ms,0.0002719831514318388,0.003904531812329529,-0.0008571774939036209,0.0013048386926736387
Occupancy_Level,0.0002519058953283682,0.0016314550152172287,-0.00020374667195997362,0.0007002599375860638
Building_Orientation,0.00024018964232721355,0.002169195789506373,-0.0003553727876811746,0.0008325882256726017
Wall_Thickness_cm,-0.00042769416584624716,0.003395673194831559,-0.001377448128536375,0.0004890503563896163
Outdoor_Humidity_%,-0.0004481157588411637,0.0029987801453311307,-0.00130467152658223,0.000375375428394416
Insulation_Level,-0.0004773816434803496,0.0013121440402234052,-0.000837522384088369,-0.00011225497135209579
