Metric,NestedCV_Mean,NestedCV_Std,CI95_low,CI95_high
R2,0.8058260925632661,0.00841787608560704,0.8034925583388162,0.8081033122244254
RMSE,1.7817244137090082,0.026027499498946165,1.774554327390262,1.7890513818182838
MAE,1.497073059813858,0.02202331986680451,1.4908712366080317,1.5031340200526124
MAPE,0.05437250551863966,0.0008213507227325726,0.054140857200279856,0.054599325224813346
