Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.3779750655381817,0.06001392133152385,2.361225346446358,2.3942527959182307
Solar_Radiation_Wm2,1.217592046172712,0.03438925068894474,1.208133127237831,1.2271572895520453
Heat_Reflective_Treatment,0.35236421779511373,0.033746303914695894,0.3432275637952779,0.3619283085914583
Coating_Reflectivity_%,0.190685863289245,0.025928101477935624,0.1834731619926715,0.19785976949076736
Building_Orientation,0.009179692956976118,0.008074082188990578,0.00686420920420693,0.011384448969258752
Wind_Speed_ms,0.007206166494235144,0.0070014086476707016,0.005252619009830647,0.009128661406875457
Outdoor_Humidity_%,0.0028071871362240464,0.006762620787517639,0.0009521568218430376,0.004611943205810975
HVAC_Setpoint_C,0.002586283761383036,0.0054552488957325795,0.0011064568806625826,0.004119084502250996
Insulation_Level,0.002467196928579467,0.006592035018789897,0.0006714565887924642,0.004305752530796183
Wall_Thickness_cm,-0.0002901611546131064,0.006865863921117549,-0.0021832520827040906,0.0015544661485948712
Emissivity,-0.0005764566092611885,0.005806693930948159,-0.002195301903016279,0.0010369435096823992
Occupancy_Level,-0.0015132882736124678,0.005776052747941132,-0.003127963704502955,7.672301095384561e-05
