fold,outer_r2,outer_rmse,outer_mae,outer_mape
0,0.8039723318607731,1.7925552217033365,1.5154813404952185,0.05494054315010753
1,0.8175031084165958,1.7359052572749654,1.4427310744862976,0.052612233438735334
2,0.7916040163607514,1.802616745786037,1.5284003973657325,0.05554790718005217
3,0.8059139412636049,1.8037712893233415,1.5183212199538705,0.055517142916779866
4,0.7957381377072001,1.8373315587017136,1.522472521289912,0.054819317499205496
5,0.8160835834771314,1.7251825757312762,1.4608692301878403,0.052868432292395406
6,0.7845351173049562,1.804580328482336,1.5073594295389685,0.054379423596537226
7,0.8073530786165526,1.7642581518472473,1.478612485897439,0.05353270497703101
8,0.8113317087915584,1.8062370566138548,1.5306593676497398,0.056097542136754996
9,0.8000510499324749,1.8492825940053617,1.5421112317179486,0.05626998554281585
10,0.8072681054689097,1.7902394582650052,1.4996640626795228,0.05425594445096651
11,0.7960428325726845,1.804059372310424,1.523835144295822,0.05510618770297063
12,0.8016463725220906,1.7734783583122404,1.4880463250506581,0.05418308071893063
13,0.8034859492225794,1.7998969006707801,1.4950411505810357,0.054441803135730854
14,0.8212611348692003,1.7405635502845123,1.4725184463813108,0.053640056606176816
15,0.7998723525537876,1.7744066475711218,1.5049290743016888,0.05463868363776043
16,0.8045617446367481,1.8106976346684476,1.5249564107466103,0.0550564284437271
17,0.8123482092712708,1.767438635147599,1.4882798689498329,0.054214397879699124
18,0.81399878549644,1.7675301836381432,1.4721497916108486,0.05349953403555509
19,0.8060415465966846,1.75601901777036,1.4733556215417642,0.05365971457078534
20,0.7880916374249467,1.8142574792486779,1.5269029694970289,0.055179096354711035
21,0.8159789001335858,1.7556908072926616,1.4718120767620777,0.05362167353148422
22,0.8152546195338016,1.760546316981607,1.4715770301479,0.05333945649183629
23,0.8126467697782453,1.7916630830729117,1.518761752606022,0.05519008402355264
24,0.7958583366705096,1.7886984738023701,1.506998835384033,0.05475396989508635
25,0.8134722349007394,1.7836132044403,1.4892976881806679,0.0534999837202175
26,0.7943275081040228,1.7750096215056959,1.4907378113190886,0.0543438778159403
27,0.8028382087667513,1.7781869736050413,1.5102037584345387,0.054795416989445365
28,0.816350999883948,1.754941441521363,1.4694830521906057,0.05391205641845533
29,0.8055128782707256,1.7976821477505196,1.5082953482279682,0.05456712911577284
30,0.8040761421210038,1.760451802939513,1.4818266110205918,0.05361931077436529
31,0.8066566916028332,1.7887342744448507,1.4987684280989155,0.05447051578960992
32,0.8082915951029114,1.774438662020318,1.4963521949837324,0.054642499391096166
33,0.8115175840233975,1.7525983140607746,1.4779272365430782,0.053461412215782746
34,0.8058213430193779,1.8053238678016064,1.5195165860622433,0.055054667981789276
35,0.8067309927605686,1.789013737493798,1.5195443653941034,0.05517050149001601
36,0.8102393511323869,1.758796648947786,1.4838091617164122,0.05366256393548673
37,0.8069484516413247,1.790400566262496,1.490802519424861,0.054440472680551376
38,0.804079349618115,1.7578986033329074,1.4721247236441872,0.05346992877771565
39,0.7985130388033094,1.8302423182612297,1.5329508599458193,0.055679925282094055
40,0.8057150203225172,1.7848980788491853,1.4917989455408036,0.054389338414698805
41,0.8007116641749807,1.7716803808506547,1.4945405422441649,0.053808122554232514
42,0.8073565325901466,1.7734981244990342,1.4901632124547306,0.0539838332757372
43,0.8137015531593226,1.7849467575052071,1.4878293278061294,0.054623845438323874
44,0.8105405462869877,1.7561224930328023,1.4907696535766584,0.0542095601923656
45,0.8261649696464777,1.7328628432319246,1.453780298688846,0.05265622511860274
46,0.8091094596617117,1.765090560570704,1.493536195402201,0.053986910840759565
47,0.8086463737388915,1.8014019267995685,1.5089715391773695,0.05537251624090626
48,0.7927160741933479,1.7883392444016768,1.4938861761534838,0.05447909565570003
49,0.7928226941544194,1.813141392815116,1.5208898953425778,0.0549602216129298
