trial,mean_running_best_rmse,std_running_best_rmse
1,2.099513844178753,0.5159156591574184
2,1.8329734684320511,0.22417978212081663
3,1.786108642117958,0.18373869805672807
4,1.747801849239267,0.08123558420911803
5,1.7274992160356453,0.04450538150154009
6,1.7226176755591203,0.04007790582118072
7,1.718046029231666,0.03723993353394834
8,1.714407254119749,0.033263691595978466
9,1.7131157830962875,0.03160685059428581
10,1.7128795444915133,0.03171965341421261
11,1.7071048778753382,0.021037845609735796
12,1.7033201358558825,0.0181540264043919
13,1.701145528464505,0.018067227269656264
14,1.7002363802517413,0.017014556738817188
15,1.698488581884325,0.013226116786421192
16,1.697250565709809,0.011363044434165422
17,1.6967004076659824,0.011456559098830449
18,1.6960337144192212,0.010918992663698212
19,1.6957568688974616,0.010866199195450676
20,1.6944208032612522,0.008790001298212393
21,1.6942714543572226,0.008878919777219498
22,1.6940398609792595,0.008988044841236843
23,1.6933053368286448,0.008670975075612233
24,1.6932698450687775,0.008646636884573167
25,1.693108024023495,0.008657351691235219
26,1.6924729892797925,0.008501424638788505
27,1.6923588055070196,0.008492681206917955
28,1.6921822922311578,0.008514272384152831
29,1.6918969481542794,0.008447329246747565
30,1.6918227751798247,0.008357556726741985
31,1.6916560996527124,0.008230216254411208
32,1.6915513524632857,0.008279180618514665
33,1.691325638618404,0.008285587610629815
34,1.6912588970816693,0.008316654524127068
35,1.6912173833002102,0.008318372435324458
36,1.6911380244740273,0.008309254694518549
37,1.6909283882417847,0.008036889765678717
38,1.6908781152308379,0.007974717711072781
39,1.6908781152308379,0.007974717711072781
40,1.6908145895439985,0.007953283502996332
41,1.6907722403492316,0.007986369987718235
42,1.690542671799375,0.00789165825506382
43,1.6905153073957953,0.0079143449952099
44,1.690473474196048,0.007927821036296025
45,1.6904164990252497,0.007850580096950112
46,1.690339869938087,0.00793153890111659
47,1.6901989553298202,0.007847436924276757
48,1.6901739839975705,0.007848212944257428
49,1.6901167599743865,0.007872089764128
50,1.6900725886906427,0.007921280472845228
