fold,outer_r2,outer_rmse,outer_mae,outer_mape
0,0.8230165553909723,1.7032569837977785,1.4559915751072943,0.05279005867513757
1,0.8341057715942275,1.6550606798426573,1.3997793641331533,0.05079472051287773
2,0.8072439911931133,1.733655060036044,1.4852346430867183,0.05394150346856586
3,0.8272536666384374,1.7017224113500686,1.454511951739014,0.05314328331226639
4,0.8296479932028156,1.6779055793706923,1.42154728010467,0.05107448741169666
5,0.8336062920456501,1.6409421279388623,1.3934297806209297,0.05031485953691821
6,0.8144824917668566,1.674481761171677,1.4316626058706061,0.05165645474157878
7,0.8251677482109375,1.6807064696520688,1.4254106461243374,0.051465377501907925
8,0.8313920218258157,1.707514303308895,1.4579505594325104,0.05334840707715545
9,0.8292366450203628,1.7089960438230842,1.4593845461398898,0.053177842152793635
10,0.8224925402732445,1.7180770410094286,1.4689086892904308,0.05305606144424007
11,0.8244214868076867,1.673851877892796,1.4291278248548895,0.051641056720664776
12,0.8220000914891687,1.6800248634330757,1.436897075584623,0.052245022242360724
13,0.8313598028242379,1.6673676680154355,1.4180900472295614,0.051423161050418935
14,0.8352782791464632,1.6709206331014865,1.4230853236013292,0.051932589173069615
15,0.8228680421464887,1.6693525782872005,1.417216897625324,0.051412239187964656
16,0.8222106960700903,1.7270064537604426,1.4906979205207764,0.053870512401545924
17,0.8261141866428672,1.7013750632943412,1.448338023025488,0.0526440579944169
18,0.8351266554675914,1.6641182093473337,1.420463157081293,0.051440079992536844
19,0.8255773872916021,1.6652377693652547,1.409921164582643,0.051312948110907815
20,0.8131938646251882,1.7034149018712468,1.448212321282989,0.052455329682384554
21,0.8362599348399202,1.6561196250372354,1.401708848278052,0.05094616326813453
22,0.8307464840237582,1.6851148695871956,1.4310317190397428,0.05191998445218986
23,0.8373453219788543,1.669394705149987,1.424973859615855,0.051651391171800544
24,0.8152191785734946,1.7017656711386766,1.457456081508618,0.05293349091768102
25,0.8363788979478834,1.6705081247734541,1.4156954321931277,0.05083901599472903
26,0.8114349097969973,1.6995864231075732,1.4307340724005395,0.05208148515750021
27,0.8213986493629847,1.6924210419205779,1.4648811048473465,0.053008919105879106
28,0.834628638878096,1.6653230606525409,1.410018990409316,0.05163937450539245
29,0.8249690939301381,1.7053944744666372,1.4617227624641158,0.05300832263388435
30,0.8282286071854108,1.6483745335330144,1.3965409810002436,0.05055777601655342
31,0.8290565987574399,1.6819280993981143,1.4271951820410875,0.05185696118391077
32,0.8274389079437617,1.6834950931126187,1.436252140026497,0.05238557171200341
33,0.8264829688316047,1.6815818988488613,1.439596833295962,0.05220933880705789
34,0.8247141914005389,1.7152512938554874,1.4693568709157225,0.0532032980876022
35,0.824109102377127,1.7066884529007595,1.451319162390555,0.052676626886714754
36,0.8312470467104244,1.658586942990542,1.4129079054541533,0.051069827613611465
37,0.8275242211033651,1.6923010323680903,1.437976549655734,0.0525245292187519
38,0.8247782231250372,1.6624467919360157,1.410475057878852,0.05109671436442873
39,0.8248069196783073,1.7066465753576314,1.4579135421205307,0.052839551697858
40,0.8215742610090673,1.7104979619080236,1.4595272585696146,0.053246810150153916
41,0.8265854906609813,1.6526738347719006,1.4182626126835436,0.05097819187901161
42,0.827611812302701,1.6776731045909432,1.4229283211787414,0.05141164282797579
43,0.8359032942332647,1.675215105761435,1.4290396215865118,0.052137427495938735
44,0.8220469896355059,1.7019599444408406,1.4495450987823635,0.05254698527118773
45,0.8413204784343465,1.6556021503405716,1.4002577089991113,0.050533684437739916
46,0.8181931253722539,1.722582137014611,1.4776884997493873,0.05340535963929682
47,0.8318056351625582,1.6888768982665676,1.4220629127340643,0.052195396105690545
48,0.8133214816906743,1.6971267038512596,1.450950817898475,0.05286086690813066
49,0.8180153042097442,1.699331138972121,1.454710790375901,0.05234777394179152
