Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.430059191456566,0.06414908575488935,2.4120532791990477,2.4477749385547285
Solar_Radiation_Wm2,1.234327107015609,0.03544712558767145,1.2244165081645284,1.2439546420607581
Heat_Reflective_Treatment,0.49028374196115254,0.033680792000155634,0.48128640733445377,0.49965406994761336
Coating_Reflectivity_%,0.11419552909215346,0.016862351010719416,0.10958746763625073,0.11900290585500248
Wind_Speed_ms,0.003720014933998289,0.001988290638095038,0.00316878700148966,0.004248623894099692
Occupancy_Level,-7.075402809772946e-05,0.000439499240311498,-0.00019684680665686897,4.91127378757252e-05
Insulation_Level,-0.00014772237398576006,0.00035275866359200085,-0.0002515837593090846,-5.404666996281379e-05
HVAC_Setpoint_C,-0.00015291466710753144,0.0009234245239008199,-0.000407081020728953,0.00010104058793789217
Building_Orientation,-0.00020636987370562028,0.0004677606978735307,-0.00034336293176420333,-8.154572019414924e-05
Emissivity,-0.00028333777647759553,0.0008574614063456421,-0.0005249283975050655,-4.713985043975509e-05
Outdoor_Humidity_%,-0.0004719590433175687,0.001495574053466719,-0.0008925191542555208,-6.655543852377818e-05
Wall_Thickness_cm,-0.0007379527750046347,0.0011933737267467881,-0.0010808629565521115,-0.00041220457385453344
