Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.5939071866953043,0.059815422468554126,2.5771361777620307,2.6101332821836993
Solar_Radiation_Wm2,1.3590807818487294,0.030779771250497558,1.3506034424125857,1.3675559803795352
Heat_Reflective_Treatment,0.15544791163347244,0.015414121342973437,0.15124471237394504,0.15981813932186015
Coating_Reflectivity_%,0.12761833405054784,0.012031049840503759,0.12422592126907425,0.1309688740432973
Wind_Speed_ms,0.002204038841062969,0.0014543634434670896,0.0018072918448509847,0.0026037649587601496
Emissivity,3.665782431629604e-05,0.0008947296549235226,-0.00023389944604432382,0.00026575658676968207
HVAC_Setpoint_C,-4.175540353092977e-05,0.0004711222129573444,-0.00018305701302345417,7.295320884286949e-05
Occupancy_Level,-0.00010875115004314439,0.0007776203229825722,-0.00035696015269343496,6.976407750250171e-05
Insulation_Level,-0.00014028853789943343,0.0002377406834191267,-0.00021031215432690487,-7.761935982078149e-05
Wall_Thickness_cm,-0.00016765253540232546,0.0005928322259380857,-0.0003445997899666582,-1.4710150491664879e-05
Building_Orientation,-0.0002606780048577142,0.0008369895599607792,-0.0004976438852954178,-3.14271863013831e-05
Outdoor_Humidity_%,-0.00027620286815176166,0.0005818813865657125,-0.00045843505609047237,-0.00013959569772423595
