trial,mean_running_best_rmse,std_running_best_rmse
1,1.8735572593358094,0.1444441329498199
2,1.8167755924613016,0.10976202875541399
3,1.7936251515935604,0.09256171148655029
4,1.7721382180657952,0.06596210808207174
5,1.7604870093523906,0.054392127891396906
6,1.7516097843657241,0.03455153494703379
7,1.7435718917629952,0.019022005224910203
8,1.7397816877980015,0.016746136917448463
9,1.7384687428384975,0.016291539359798785
10,1.7380613079349612,0.01593333478145407
11,1.7317305474265128,0.008982251120256876
12,1.7280031589436817,0.008389615945726797
13,1.726462716482283,0.007876992609975386
14,1.7259281747024102,0.007828879198385631
15,1.725818306747498,0.007832400116732093
16,1.7253580493791798,0.007739740795742995
17,1.7247542148213726,0.007162558750732953
18,1.7246774890322254,0.0071382112644598145
19,1.7245995614376488,0.007241702230623481
20,1.724333041232579,0.006816950535413627
21,1.7242566109720905,0.006815113119040477
22,1.724082798783513,0.006773190405414022
23,1.7238551029757485,0.0068384609668657335
24,1.7236746098523088,0.006496675460820148
25,1.723551462900325,0.006272622639633317
26,1.7233624506392897,0.0061430863582335226
27,1.7232869197177245,0.005934601933002349
28,1.7231245828590755,0.006073505169837052
29,1.7230784236851668,0.006089496886980103
30,1.723004655348456,0.00608545752209422
31,1.723004655348456,0.00608545752209422
32,1.7227332756652325,0.005976833295986098
33,1.722621019171019,0.0059078169256952095
34,1.7225448822459766,0.005901341189841774
35,1.722411514957146,0.005876106251588845
36,1.7223828071527618,0.005876881926851248
37,1.7220631336735837,0.005972461804190177
38,1.7220368186035366,0.005992743734115781
39,1.7219379295332473,0.005884375295506327
40,1.7219042736069623,0.0058894970125853005
41,1.7218548725995495,0.005878241411124574
42,1.7217726645012867,0.005856579529224295
43,1.7216930569778777,0.005845821597610232
44,1.7215799203454918,0.005828244007884373
45,1.7215799203454918,0.005828244007884373
46,1.721478824521011,0.005703366510684538
47,1.7214450467338895,0.00574955187767424
48,1.7214450467338895,0.00574955187767424
49,1.7214385844432474,0.005745235876553151
50,1.7214385844432474,0.005745235876553151
