Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.3363502652957715,0.05798221424356031,2.3200469574422415,2.35200836821615
Solar_Radiation_Wm2,1.1781330541778805,0.0299358078132126,1.1698886025417277,1.1863592122583482
Heat_Reflective_Treatment,0.8007941073607268,0.0427100796422794,0.7895405001949828,0.8128111481481378
Coating_Reflectivity_%,0.06965945449823858,0.010297250858875936,0.06681406303700978,0.07242198283248015
Occupancy_Level,0.0008126060528338482,0.0017580118748035042,0.000309205691229721,0.0012909121569055497
Wall_Thickness_cm,5.0630167500664395e-05,0.0009773399798028387,-0.00022211511536881473,0.0003222550600067982
HVAC_Setpoint_C,3.084060490761508e-05,0.0008455676682419204,-0.00020547004993777635,0.0002709799362919633
Wind_Speed_ms,-3.459220753364222e-05,0.0010276739235406875,-0.0003187038416747508,0.00024089137381307752
Outdoor_Humidity_%,-6.282445123408298e-05,0.0009988009497458167,-0.00033896295380367693,0.00021266710122063475
Building_Orientation,-0.00020237564613649354,0.002788524934560547,-0.0009777384819266916,0.0005571409799087667
Emissivity,-0.0002373905647969514,0.0008468325031567107,-0.0004719127540468005,-1.0344660184742589e-05
Insulation_Level,-0.0006495935159465911,0.001355683560461959,-0.0010351831505332845,-0.00027475810015222966
