trial,mean_running_best_rmse,std_running_best_rmse
1,1.799880398868509,0.1571453538195402
2,1.7378839534896884,0.0709341024021822
3,1.7258365185746862,0.062029781045418335
4,1.7231854604329393,0.060415430492411624
5,1.7154894325415078,0.023550945690625068
6,1.7102877207071805,0.011358489402143448
7,1.7100806500065369,0.011353585284216507
8,1.708633246516919,0.008533834251758082
9,1.7083242061402546,0.008615875371698396
10,1.70791638804608,0.008323358663462717
11,1.7072441086488184,0.007346658155057905
12,1.706899154994135,0.00719068364995204
13,1.7066814797230625,0.007013435491146544
14,1.7064038644199713,0.006963089029657348
15,1.7063732632923014,0.006976620687108347
16,1.7062667359918842,0.007001717088989047
17,1.706201136373303,0.007061360362546254
18,1.706201136373303,0.007061360362546254
19,1.7060314241970482,0.006958703427986654
20,1.7060000590595015,0.006936742875560866
21,1.7059792506496654,0.0069593394673336875
22,1.705934463382631,0.006976872148791571
23,1.7058150762783877,0.007002357502892881
24,1.7057675288978376,0.006996714023552438
25,1.7057219498038256,0.006978328243232749
26,1.7056565736051732,0.006981673254325258
27,1.7056289374184956,0.007008884165320402
28,1.705587851152768,0.0070022745788835454
29,1.7055869904615362,0.007001681445287527
30,1.7055639192708498,0.006997916382364644
31,1.7055536860739096,0.007000147563678039
32,1.7055210337503468,0.007015571729671472
33,1.7054887434892156,0.007023766004356345
34,1.7054488830117163,0.0070437058712107285
35,1.7054389601068538,0.0070291964435371754
36,1.7054109103883024,0.007056854745948043
37,1.7054062584834242,0.0070643195885170505
38,1.7054062584834242,0.0070643195885170505
39,1.7053886422328373,0.007033901100026275
40,1.7053800460633817,0.007021827963090507
41,1.7053642116721892,0.007020328578594435
42,1.705355511969068,0.007020752646505748
43,1.705288293893936,0.0070196188099927274
44,1.7052797959675952,0.00702497724339705
45,1.7052699454028897,0.007016907046324305
46,1.7052586700234258,0.0070326126721182445
47,1.7052545394873613,0.007032057508987984
48,1.7052541060252855,0.00703156887486565
49,1.7052302004028206,0.007044769535118639
50,1.7052094983255863,0.007061477812257739
