fold,outer_r2,outer_rmse,outer_mae,outer_mape
0,0.8173681386644885,1.7302231929908496,1.504311786691235,0.05440540328044307
1,0.8293766814343118,1.6784850403429035,1.4352855157944027,0.052115018348291
2,0.8027842763479469,1.7535958040325053,1.5296566452919969,0.05542810301966395
3,0.821557268364661,1.7295524262982374,1.4961934746363421,0.054680427562175955
4,0.8259780244942839,1.6958832017520693,1.4580870772610997,0.052256759500731685
5,0.8238423450708933,1.6884009001425113,1.4453022965725875,0.05213199179999646
6,0.8051013947071538,1.716296575238758,1.4909563092848082,0.053830490884754924
7,0.8203974383569986,1.703481257271616,1.4713633937763324,0.05309964372208823
8,0.826824697550353,1.7304867063527853,1.498572850225973,0.05471432407315863
9,0.8215284991535756,1.747141806649274,1.5134448021908113,0.055014817540549196
10,0.8152897681203097,1.7525878904435825,1.5215079382613923,0.054944164944044305
11,0.8131211815236107,1.7268769002669646,1.4988929746977184,0.05410204476200305
12,0.815176923308521,1.711921780055477,1.4775132320475537,0.053630817528839886
13,0.824717856221086,1.699885476061317,1.4582738551312076,0.05274099890126235
14,0.8300135055696255,1.697413278919357,1.4668883690822103,0.05347983236099305
15,0.81297229577042,1.7153493496761814,1.4895230626578786,0.053907649847686416
16,0.816829442581954,1.7529477820081905,1.522793125505017,0.054920234824649465
17,0.8202515032477,1.7298188331449302,1.4902431439704482,0.05407669267491186
18,0.8267308557706563,1.7059628287797188,1.477074036863869,0.05344870819243144
19,0.8219221132218568,1.6825960128433792,1.4400536878441332,0.052428112621071644
20,0.8059304066505302,1.7362154726569754,1.4989928607644083,0.05415405896296738
21,0.8300601922038412,1.6871814254593192,1.4560965492381883,0.0527412711244606
22,0.8303610078788863,1.687032709076051,1.4479463001379247,0.0525863948751667
23,0.8255221778060684,1.7290034842682283,1.5017357515730587,0.05447078656277207
24,0.804188510751532,1.7518236985026372,1.5209830258752917,0.055056246602400424
25,0.8275088699056172,1.7151903289402852,1.4733967095890899,0.05275701226320327
26,0.8063364591368561,1.72241000913241,1.4846176702793266,0.05393438832647532
27,0.8082316709079966,1.7536967170308213,1.5304698930791478,0.0553868233276498
28,0.8328989920436328,1.6740093536469358,1.4401334471316156,0.05263397947916795
29,0.8201133237604809,1.7288884769827968,1.5009597088757252,0.054412354487521235
30,0.818467947492853,1.694560725969715,1.4629088797137522,0.052862878990623655
31,0.825189172559963,1.7008476725938462,1.4616777611959,0.052977570150846
32,0.8192134983051919,1.7231513123476285,1.4902679556733314,0.05421019188994824
33,0.8194910555960826,1.715127193875277,1.4869152319405268,0.05384115305013205
34,0.8163310088296314,1.755788894247828,1.523945189754834,0.05511075003691615
35,0.8151763386410861,1.7494895480044839,1.5219486002385203,0.055112387371777
36,0.8248993898022872,1.6894929384217086,1.4550737898941692,0.0525120977637086
37,0.8200918580540146,1.7283789607286748,1.4847390359770294,0.054178378111478194
38,0.8217233421636482,1.6768760272177976,1.4477567405206258,0.05234917274301114
39,0.817766223703962,1.7406023145745753,1.510827671710249,0.05463767207963687
40,0.8155785656596727,1.7389996984141853,1.499793896209929,0.054589617330363
41,0.8150037323589886,1.7069701195786213,1.488176495394528,0.053507180829023254
42,0.8211511072198348,1.7088215732169696,1.472325249964515,0.05308742639647767
43,0.8293159643919338,1.7085083294740986,1.4828468738654679,0.05404091420294268
44,0.8178466593904413,1.7219289804750786,1.476548345053413,0.05356757525272515
45,0.8370725019833979,1.6776166771779908,1.4373227242508806,0.051889853355358
46,0.8169258749610288,1.728575178196945,1.5047885411105375,0.05428775652950817
47,0.8254586619507898,1.7204475020440768,1.4736052044812402,0.05400047028332386
48,0.807510998201757,1.7233363738900525,1.4959118474021509,0.054305320482742434
49,0.8099833530206454,1.736426508602042,1.5081214076276181,0.054319692153921705
