trial,mean_running_best_rmse,std_running_best_rmse
1,2.1706628716541423,0.8052088544383
2,1.758273603314642,0.25891513231552676
3,1.7563231351681907,0.24901275974753187
4,1.7188247203113223,0.005919173232957379
5,1.718587461077405,0.005921576848779237
6,1.7185168504911912,0.005888383810230814
7,1.7184324677525635,0.005931068783824835
8,1.7183382719734854,0.005959257271804201
9,1.7183348717950409,0.00595624437234473
10,1.7182476444367338,0.005929047313982484
11,1.7181224690962325,0.005905154286110538
12,1.7180853753676402,0.005876126070720179
13,1.7180327542876475,0.0058685561656937075
14,1.718001169081405,0.005862150660972046
15,1.7179841264040567,0.005859510623514949
16,1.7179658288489017,0.005864459691330429
17,1.7179595766372726,0.0058667836544141
18,1.717958788663449,0.005866959344605883
19,1.7179574051507165,0.005865651846767174
20,1.7179574051507165,0.005865651846767174
21,1.7179559052500164,0.0058666899008879845
22,1.7179478543082194,0.005864175499779256
23,1.7179400142425356,0.005865085106813939
24,1.7179354514589695,0.005866673998806
25,1.7179345076002241,0.005865664513823739
26,1.7179308974384182,0.005865619018787167
27,1.7179302182537455,0.005865266226560127
28,1.7179299867223172,0.005865594211009999
29,1.7179289374505982,0.005864111998263166
30,1.7179289374505982,0.005864111998263166
31,1.717928680141863,0.00586419942845282
32,1.7179236963585311,0.005862503163028598
33,1.71792283997438,0.0058630907804671254
34,1.7179208886251727,0.005863891496380009
35,1.7179208300377309,0.005863946138746048
36,1.7179208255766676,0.0058639408983949355
37,1.717920401211927,0.005863914960953374
38,1.717920401211927,0.005863914960953374
39,1.717920401211927,0.005863914960953374
40,1.7179203763866793,0.005863920114360935
41,1.7179203763866793,0.005863920114360935
42,1.7179200982083538,0.005863856447118697
43,1.7179200349490211,0.005863893623707573
44,1.717918991777494,0.00586469159147086
45,1.717918649487575,0.005864657290953444
46,1.7179185185432917,0.005864753373192768
47,1.7179185185432917,0.005864753373192768
48,1.7179184912272294,0.005864792116143831
49,1.7179184831316925,0.005864779470661021
50,1.7179184804852716,0.0058647776740775705
